,concept:name,time:timestamp,case:concept:name
0,checkif claimantis insured,1970-04-27 01:46:40,0
1,rejectclaim,1970-04-27 01:46:41,0
2,checkif claimantis insured,1970-04-27 01:46:42,1
3,rejectclaim,1970-04-27 01:46:43,1
4,checkif claimantis insured,1970-04-27 01:46:44,2
5,rejectclaim,1970-04-27 01:46:45,2
6,checkif claimantis insured,1970-04-27 01:46:46,3
7,rejectclaim,1970-04-27 01:46:47,3
8,checkif claimantis insured,1970-04-27 01:46:48,4
9,rejectclaim,1970-04-27 01:46:49,4
10,checkif claimantis insured,1970-04-27 01:46:50,5
11,acceptclaim,1970-04-27 01:46:51,5
12,evaluateSeverityof claim,1970-04-27 01:46:52,5
13,sendrelevantforms,1970-04-27 01:46:53,5
14,receiverelevantforms,1970-04-27 01:46:54,5
15,check forcompleteness,1970-04-27 01:46:55,5
16,informclaimant,1970-04-27 01:46:56,5
17,receiveupdatedforms,1970-04-27 01:46:57,5
18,check forcompleteness,1970-04-27 01:46:58,5
19,informclaimant,1970-04-27 01:46:59,5
20,receiveupdatedforms,1970-04-27 01:47:00,5
21,check forcompleteness,1970-04-27 01:47:01,5
22,registerclaim,1970-04-27 01:47:02,5
23,checkif claimantis insured,1970-04-27 01:47:03,6
24,rejectclaim,1970-04-27 01:47:04,6
25,checkif claimantis insured,1970-04-27 01:47:05,7
26,acceptclaim,1970-04-27 01:47:06,7
27,evaluateSeverityof claim,1970-04-27 01:47:07,7
28,sendrelevantforms,1970-04-27 01:47:08,7
29,receiverelevantforms,1970-04-27 01:47:09,7
30,check forcompleteness,1970-04-27 01:47:10,7
31,informclaimant,1970-04-27 01:47:11,7
32,receiveupdatedforms,1970-04-27 01:47:12,7
33,check forcompleteness,1970-04-27 01:47:13,7
34,registerclaim,1970-04-27 01:47:14,7
35,checkif claimantis insured,1970-04-27 01:47:15,8
36,rejectclaim,1970-04-27 01:47:16,8
37,checkif claimantis insured,1970-04-27 01:47:17,9
38,rejectclaim,1970-04-27 01:47:18,9
39,checkif claimantis insured,1970-04-27 01:47:19,10
40,acceptclaim,1970-04-27 01:47:20,10
41,evaluateSeverityof claim,1970-04-27 01:47:21,10
42,sendrelevantforms,1970-04-27 01:47:22,10
43,receiverelevantforms,1970-04-27 01:47:23,10
44,check forcompleteness,1970-04-27 01:47:24,10
45,registerclaim,1970-04-27 01:47:25,10
46,checkif claimantis insured,1970-04-27 01:47:26,11
47,acceptclaim,1970-04-27 01:47:27,11
48,evaluateSeverityof claim,1970-04-27 01:47:28,11
49,sendrelevantforms,1970-04-27 01:47:29,11
50,receiverelevantforms,1970-04-27 01:47:30,11
51,check forcompleteness,1970-04-27 01:47:31,11
52,informclaimant,1970-04-27 01:47:32,11
53,receiveupdatedforms,1970-04-27 01:47:33,11
54,check forcompleteness,1970-04-27 01:47:34,11
55,informclaimant,1970-04-27 01:47:35,11
56,receiveupdatedforms,1970-04-27 01:47:36,11
57,check forcompleteness,1970-04-27 01:47:37,11
58,informclaimant,1970-04-27 01:47:38,11
59,receiveupdatedforms,1970-04-27 01:47:39,11
60,check forcompleteness,1970-04-27 01:47:40,11
61,informclaimant,1970-04-27 01:47:41,11
62,receiveupdatedforms,1970-04-27 01:47:42,11
63,check forcompleteness,1970-04-27 01:47:43,11
64,informclaimant,1970-04-27 01:47:44,11
65,receiveupdatedforms,1970-04-27 01:47:45,11
66,check forcompleteness,1970-04-27 01:47:46,11
67,registerclaim,1970-04-27 01:47:47,11
68,checkif claimantis insured,1970-04-27 01:47:48,12
69,rejectclaim,1970-04-27 01:47:49,12
70,checkif claimantis insured,1970-04-27 01:47:50,13
71,rejectclaim,1970-04-27 01:47:51,13
72,checkif claimantis insured,1970-04-27 01:47:52,14
73,acceptclaim,1970-04-27 01:47:53,14
74,evaluateSeverityof claim,1970-04-27 01:47:54,14
75,sendrelevantforms,1970-04-27 01:47:55,14
76,receiverelevantforms,1970-04-27 01:47:56,14
77,check forcompleteness,1970-04-27 01:47:57,14
78,registerclaim,1970-04-27 01:47:58,14
79,checkif claimantis insured,1970-04-27 01:47:59,15
80,rejectclaim,1970-04-27 01:48:00,15
81,checkif claimantis insured,1970-04-27 01:48:01,16
82,acceptclaim,1970-04-27 01:48:02,16
83,evaluateSeverityof claim,1970-04-27 01:48:03,16
84,sendrelevantforms,1970-04-27 01:48:04,16
85,receiverelevantforms,1970-04-27 01:48:05,16
86,check forcompleteness,1970-04-27 01:48:06,16
87,registerclaim,1970-04-27 01:48:07,16
88,checkif claimantis insured,1970-04-27 01:48:08,17
89,acceptclaim,1970-04-27 01:48:09,17
90,evaluateSeverityof claim,1970-04-27 01:48:10,17
91,sendrelevantforms,1970-04-27 01:48:11,17
92,receiverelevantforms,1970-04-27 01:48:12,17
93,check forcompleteness,1970-04-27 01:48:13,17
94,informclaimant,1970-04-27 01:48:14,17
95,receiveupdatedforms,1970-04-27 01:48:15,17
96,check forcompleteness,1970-04-27 01:48:16,17
97,informclaimant,1970-04-27 01:48:17,17
98,receiveupdatedforms,1970-04-27 01:48:18,17
99,check forcompleteness,1970-04-27 01:48:19,17
100,informclaimant,1970-04-27 01:48:20,17
101,receiveupdatedforms,1970-04-27 01:48:21,17
102,check forcompleteness,1970-04-27 01:48:22,17
103,informclaimant,1970-04-27 01:48:23,17
104,receiveupdatedforms,1970-04-27 01:48:24,17
105,check forcompleteness,1970-04-27 01:48:25,17
106,registerclaim,1970-04-27 01:48:26,17
107,checkif claimantis insured,1970-04-27 01:48:27,18
108,acceptclaim,1970-04-27 01:48:28,18
