,concept:name,time:timestamp,case:concept:name
0,assessrisk,1970-04-27 01:46:40,0
1,carry out anadvancedrisk assessment,1970-04-27 01:46:41,0
2,organizedisbursement,1970-04-27 01:46:42,0
3,notifycostumerwith theresult ofthe assessment,1970-04-27 01:46:43,0
4,assessrisk,1970-04-27 01:46:44,1
5,carry out anadvancedrisk assessment,1970-04-27 01:46:45,1
6,notifycostumerwith theresult ofthe assessment,1970-04-27 01:46:46,1
7,organizedisbursement,1970-04-27 01:46:47,1
8,assessrisk,1970-04-27 01:46:48,2
9,carry out anadvancedrisk assessment,1970-04-27 01:46:49,2
10,organizedisbursement,1970-04-27 01:46:50,2
11,notifycostumerwith theresult ofthe assessment,1970-04-27 01:46:51,2
12,assessrisk,1970-04-27 01:46:52,3
13,carry out anadvancedrisk assessment,1970-04-27 01:46:53,3
14,notifycostumerwith theresult ofthe assessment,1970-04-27 01:46:54,3
15,organizedisbursement,1970-04-27 01:46:55,3
16,assessrisk,1970-04-27 01:46:56,4
17,carry outa simplerisk assessment,1970-04-27 01:46:57,4
18,notifycostumerwith theresult ofthe assessment,1970-04-27 01:46:58,4
19,organizedisbursement,1970-04-27 01:46:59,4
20,assessrisk,1970-04-27 01:47:00,5
21,carry outa simplerisk assessment,1970-04-27 01:47:01,5
22,notifycostumerwith theresult ofthe assessment,1970-04-27 01:47:02,5
23,organizedisbursement,1970-04-27 01:47:03,5
24,assessrisk,1970-04-27 01:47:04,6
25,carry outa simplerisk assessment,1970-04-27 01:47:05,6
26,notifycostumerwith theresult ofthe assessment,1970-04-27 01:47:06,6
27,organizedisbursement,1970-04-27 01:47:07,6
28,assessrisk,1970-04-27 01:47:08,7
29,carry out anadvancedrisk assessment,1970-04-27 01:47:09,7
30,organizedisbursement,1970-04-27 01:47:10,7
31,notifycostumerwith theresult ofthe assessment,1970-04-27 01:47:11,7
32,assessrisk,1970-04-27 01:47:12,8
33,carry outa simplerisk assessment,1970-04-27 01:47:13,8
34,notifycostumerwith theresult ofthe assessment,1970-04-27 01:47:14,8
35,organizedisbursement,1970-04-27 01:47:15,8
36,assessrisk,1970-04-27 01:47:16,9
37,carry out anadvancedrisk assessment,1970-04-27 01:47:17,9
38,notifycostumerwith theresult ofthe assessment,1970-04-27 01:47:18,9
39,organizedisbursement,1970-04-27 01:47:19,9
40,assessrisk,1970-04-27 01:47:20,10
41,carry outa simplerisk assessment,1970-04-27 01:47:21,10
42,notifycostumerwith theresult ofthe assessment,1970-04-27 01:47:22,10
43,organizedisbursement,1970-04-27 01:47:23,10
44,assessrisk,1970-04-27 01:47:24,11
45,carry outa simplerisk assessment,1970-04-27 01:47:25,11
