,concept:name,time:timestamp,case:concept:name
0,evaluatetheApplication,1970-04-27 01:46:40,0
1,create anewbank account,1970-04-27 01:46:41,0
2,send abank cardin a letter,1970-04-27 01:46:42,0
3,send a welomepack in aletter,1970-04-27 01:46:43,0
4,send aPIN numberin a letter,1970-04-27 01:46:44,0
5,evaluatetheApplication,1970-04-27 01:46:45,1
6,notify thecustomer byemail,1970-04-27 01:46:46,1
7,evaluatetheApplication,1970-04-27 01:46:47,2
8,notify thecustomer byemail,1970-04-27 01:46:48,2
9,evaluatetheApplication,1970-04-27 01:46:49,3
10,create anewbank account,1970-04-27 01:46:50,3
11,send a welomepack in aletter,1970-04-27 01:46:51,3
12,send aPIN numberin a letter,1970-04-27 01:46:52,3
13,send abank cardin a letter,1970-04-27 01:46:53,3
14,evaluatetheApplication,1970-04-27 01:46:54,4
15,notify thecustomer byemail,1970-04-27 01:46:55,4
16,evaluatetheApplication,1970-04-27 01:46:56,5
17,create anewbank account,1970-04-27 01:46:57,5
18,send abank cardin a letter,1970-04-27 01:46:58,5
19,send a welomepack in aletter,1970-04-27 01:46:59,5
20,send aPIN numberin a letter,1970-04-27 01:47:00,5
21,evaluatetheApplication,1970-04-27 01:47:01,6
22,create anewbank account,1970-04-27 01:47:02,6
23,send aPIN numberin a letter,1970-04-27 01:47:03,6
24,send abank cardin a letter,1970-04-27 01:47:04,6
25,send a welomepack in aletter,1970-04-27 01:47:05,6
26,evaluatetheApplication,1970-04-27 01:47:06,7
27,notify thecustomer byemail,1970-04-27 01:47:07,7
28,evaluatetheApplication,1970-04-27 01:47:08,8
29,create anewbank account,1970-04-27 01:47:09,8
30,send abank cardin a letter,1970-04-27 01:47:10,8
31,send a welomepack in aletter,1970-04-27 01:47:11,8
32,send aPIN numberin a letter,1970-04-27 01:47:12,8
33,evaluatetheApplication,1970-04-27 01:47:13,9
34,notify thecustomer byemail,1970-04-27 01:47:14,9
35,evaluatetheApplication,1970-04-27 01:47:15,10
36,notify thecustomer byemail,1970-04-27 01:47:16,10
37,evaluatetheApplication,1970-04-27 01:47:17,11
38,create anewbank account,1970-04-27 01:47:18,11
39,send a welomepack in aletter,1970-04-27 01:47:19,11
40,send abank cardin a letter,1970-04-27 01:47:20,11
41,send aPIN numberin a letter,1970-04-27 01:47:21,11
42,evaluatetheApplication,1970-04-27 01:47:22,12
43,create anewbank account,1970-04-27 01:47:23,12
44,send a welomepack in aletter,1970-04-27 01:47:24,12
45,send abank cardin a letter,1970-04-27 01:47:25,12
46,send aPIN numberin a letter,1970-04-27 01:47:26,12
47,evaluatetheApplication,1970-04-27 01:47:27,13
48,create anewbank account,1970-04-27 01:47:28,13
49,send abank cardin a letter,1970-04-27 01:47:29,13
50,send a welomepack in aletter,1970-04-27 01:47:30,13
51,send aPIN numberin a letter,1970-04-27 01:47:31,13
52,evaluatetheApplication,1970-04-27 01:47:32,14
53,create anewbank account,1970-04-27 01:47:33,14
54,send abank cardin a letter,1970-04-27 01:47:34,14
55,send a welomepack in aletter,1970-04-27 01:47:35,14
56,send aPIN numberin a letter,1970-04-27 01:47:36,14
57,evaluatetheApplication,1970-04-27 01:47:37,15
58,create anewbank account,1970-04-27 01:47:38,15
59,send a welomepack in aletter,1970-04-27 01:47:39,15
60,send aPIN numberin a letter,1970-04-27 01:47:40,15
61,send abank cardin a letter,1970-04-27 01:47:41,15
62,evaluatetheApplication,1970-04-27 01:47:42,16
63,notify thecustomer byemail,1970-04-27 01:47:43,16
64,evaluatetheApplication,1970-04-27 01:47:44,17
65,create anewbank account,1970-04-27 01:47:45,17
66,send abank cardin a letter,1970-04-27 01:47:46,17
67,send a welomepack in aletter,1970-04-27 01:47:47,17
68,send aPIN numberin a letter,1970-04-27 01:47:48,17
69,evaluatetheApplication,1970-04-27 01:47:49,18
70,create anewbank account,1970-04-27 01:47:50,18
71,send aPIN numberin a letter,1970-04-27 01:47:51,18
72,send abank cardin a letter,1970-04-27 01:47:52,18
73,send a welomepack in aletter,1970-04-27 01:47:53,18
74,evaluatetheApplication,1970-04-27 01:47:54,19
75,create anewbank account,1970-04-27 01:47:55,19
76,send abank cardin a letter,1970-04-27 01:47:56,19
77,send aPIN numberin a letter,1970-04-27 01:47:57,19
78,send a welomepack in aletter,1970-04-27 01:47:58,19
79,evaluatetheApplication,1970-04-27 01:47:59,20
80,notify thecustomer byemail,1970-04-27 01:48:00,20
81,evaluatetheApplication,1970-04-27 01:48:01,21
82,notify thecustomer byemail,1970-04-27 01:48:02,21
83,evaluatetheApplication,1970-04-27 01:48:03,22
84,notify thecustomer byemail,1970-04-27 01:48:04,22
85,evaluatetheApplication,1970-04-27 01:48:05,23
86,notify thecustomer byemail,1970-04-27 01:48:06,23
87,evaluatetheApplication,1970-04-27 01:48:07,24
88,notify thecustomer byemail,1970-04-27 01:48:08,24
89,evaluatetheApplication,1970-04-27 01:48:09,25
90,notify thecustomer byemail,1970-04-27 01:48:10,25
91,evaluatetheApplication,1970-04-27 01:48:11,26
92,notify thecustomer byemail,1970-04-27 01:48:12,26
93,evaluatetheApplication,1970-04-27 01:48:13,27
94,notify thecustomer byemail,1970-04-27 01:48:14,27
95,evaluatetheApplication,1970-04-27 01:48:15,28
96,notify thecustomer byemail,1970-04-27 01:48:16,28
97,evaluatetheApplication,1970-04-27 01:48:17,29
98,notify thecustomer byemail,1970-04-27 01:48:18,29
99,evaluatetheApplication,1970-04-27 01:48:19,30
100,create anewbank account,1970-04-27 01:48:20,30
101,send abank cardin a letter,1970-04-27 01:48:21,30
102,send aPIN numberin a letter,1970-04-27 01:48:22,30
103,send a welomepack in aletter,1970-04-27 01:48:23,30
104,evaluatetheApplication,1970-04-27 01:48:24,31
105,notify thecustomer byemail,1970-04-27 01:48:25,31
106,evaluatetheApplication,1970-04-27 01:48:26,32
107,create anewbank account,1970-04-27 01:48:27,32
108,send aPIN numberin a letter,1970-04-27 01:48:28,32
109,send abank cardin a letter,1970-04-27 01:48:29,32
110,send a welomepack in aletter,1970-04-27 01:48:30,32
111,evaluatetheApplication,1970-04-27 01:48:31,33
112,notify thecustomer byemail,1970-04-27 01:48:32,33
113,evaluatetheApplication,1970-04-27 01:48:33,34
114,create anewbank account,1970-04-27 01:48:34,34
115,send aPIN numberin a letter,1970-04-27 01:48:35,34
116,send a welomepack in aletter,1970-04-27 01:48:36,34
117,send abank cardin a letter,1970-04-27 01:48:37,34
