,concept:name,time:timestamp,case:concept:name
0,checkcompleteness,1970-04-27 01:46:40,0
1,sendletter aboutoutcome,1970-04-27 01:46:41,0
2,checkcompleteness,1970-04-27 01:46:42,1
3,registerclaim,1970-04-27 01:46:43,1
4,performassessement,1970-04-27 01:46:44,1
5,contactgarage,1970-04-27 01:46:45,1
6,schedulepagment,1970-04-27 01:46:46,1
7,sendletter aboutoutcome,1970-04-27 01:46:47,1
8,checkcompleteness,1970-04-27 01:46:48,2
9,sendletter aboutoutcome,1970-04-27 01:46:49,2
10,checkcompleteness,1970-04-27 01:46:50,3
11,registerclaim,1970-04-27 01:46:51,3
12,performassessement,1970-04-27 01:46:52,3
13,contactgarage,1970-04-27 01:46:53,3
14,schedulepagment,1970-04-27 01:46:54,3
15,sendletter aboutoutcome,1970-04-27 01:46:55,3
16,checkcompleteness,1970-04-27 01:46:56,4
17,sendletter aboutoutcome,1970-04-27 01:46:57,4
18,checkcompleteness,1970-04-27 01:46:58,5
19,registerclaim,1970-04-27 01:46:59,5
20,performassessement,1970-04-27 01:47:00,5
21,sendletter aboutoutcome,1970-04-27 01:47:01,5
22,checkcompleteness,1970-04-27 01:47:02,6
23,registerclaim,1970-04-27 01:47:03,6
24,performassessement,1970-04-27 01:47:04,6
25,contactgarage,1970-04-27 01:47:05,6
26,schedulepagment,1970-04-27 01:47:06,6
27,sendletter aboutoutcome,1970-04-27 01:47:07,6
28,checkcompleteness,1970-04-27 01:47:08,7
29,sendletter aboutoutcome,1970-04-27 01:47:09,7
30,checkcompleteness,1970-04-27 01:47:10,8
31,sendletter aboutoutcome,1970-04-27 01:47:11,8
32,checkcompleteness,1970-04-27 01:47:12,9
33,sendletter aboutoutcome,1970-04-27 01:47:13,9
34,checkcompleteness,1970-04-27 01:47:14,10
35,registerclaim,1970-04-27 01:47:15,10
36,performassessement,1970-04-27 01:47:16,10
37,sendletter aboutoutcome,1970-04-27 01:47:17,10
38,checkcompleteness,1970-04-27 01:47:18,11
39,sendletter aboutoutcome,1970-04-27 01:47:19,11
40,checkcompleteness,1970-04-27 01:47:20,12
41,registerclaim,1970-04-27 01:47:21,12
42,performassessement,1970-04-27 01:47:22,12
43,sendletter aboutoutcome,1970-04-27 01:47:23,12
44,checkcompleteness,1970-04-27 01:47:24,13
45,registerclaim,1970-04-27 01:47:25,13
46,performassessement,1970-04-27 01:47:26,13
47,contactgarage,1970-04-27 01:47:27,13
48,schedulepagment,1970-04-27 01:47:28,13
49,sendletter aboutoutcome,1970-04-27 01:47:29,13
50,checkcompleteness,1970-04-27 01:47:30,14
51,registerclaim,1970-04-27 01:47:31,14
52,performassessement,1970-04-27 01:47:32,14
53,contactgarage,1970-04-27 01:47:33,14
54,schedulepagment,1970-04-27 01:47:34,14
55,sendletter aboutoutcome,1970-04-27 01:47:35,14
56,checkcompleteness,1970-04-27 01:47:36,15
57,sendletter aboutoutcome,1970-04-27 01:47:37,15
58,checkcompleteness,1970-04-27 01:47:38,16
59,sendletter aboutoutcome,1970-04-27 01:47:39,16
60,checkcompleteness,1970-04-27 01:47:40,17
61,registerclaim,1970-04-27 01:47:41,17
62,performassessement,1970-04-27 01:47:42,17
63,sendletter aboutoutcome,1970-04-27 01:47:43,17
64,checkcompleteness,1970-04-27 01:47:44,18
65,sendletter aboutoutcome,1970-04-27 01:47:45,18
66,checkcompleteness,1970-04-27 01:47:46,19
67,sendletter aboutoutcome,1970-04-27 01:47:47,19
68,checkcompleteness,1970-04-27 01:47:48,20
69,sendletter aboutoutcome,1970-04-27 01:47:49,20
70,checkcompleteness,1970-04-27 01:47:50,21
71,registerclaim,1970-04-27 01:47:51,21
72,performassessement,1970-04-27 01:47:52,21
73,sendletter aboutoutcome,1970-04-27 01:47:53,21
74,checkcompleteness,1970-04-27 01:47:54,22
75,registerclaim,1970-04-27 01:47:55,22
76,performassessement,1970-04-27 01:47:56,22
77,contactgarage,1970-04-27 01:47:57,22
78,schedulepagment,1970-04-27 01:47:58,22
79,sendletter aboutoutcome,1970-04-27 01:47:59,22
80,checkcompleteness,1970-04-27 01:48:00,23
81,registerclaim,1970-04-27 01:48:01,23
82,performassessement,1970-04-27 01:48:02,23
83,sendletter aboutoutcome,1970-04-27 01:48:03,23
84,checkcompleteness,1970-04-27 01:48:04,24
85,sendletter aboutoutcome,1970-04-27 01:48:05,24
86,checkcompleteness,1970-04-27 01:48:06,25
87,sendletter aboutoutcome,1970-04-27 01:48:07,25
88,checkcompleteness,1970-04-27 01:48:08,26
89,registerclaim,1970-04-27 01:48:09,26
90,performassessement,1970-04-27 01:48:10,26
91,sendletter aboutoutcome,1970-04-27 01:48:11,26
92,checkcompleteness,1970-04-27 01:48:12,27
93,sendletter aboutoutcome,1970-04-27 01:48:13,27
94,checkcompleteness,1970-04-27 01:48:14,28
95,sendletter aboutoutcome,1970-04-27 01:48:15,28
96,checkcompleteness,1970-04-27 01:48:16,29
97,registerclaim,1970-04-27 01:48:17,29
